all tree:
feat_name: (20,31), count_total: 316, num_trees: 194, samples: 85780
feat_name: (5,0), count_total: 285, num_trees: 214, samples: 68313
feat_name: (14,3), count_total: 4, num_trees: 4, samples: 338
feat_name: (31,5), count_total: 55, num_trees: 50, samples: 4965
feat_name: (30,31), count_total: 67, num_trees: 65, samples: 6256
feat_name: (31,23), count_total: 29, num_trees: 28, samples: 2599
feat_name: (31,8), count_total: 23, num_trees: 23, samples: 1867
feat_name: (5,17), count_total: 2, num_trees: 2, samples: 208
feat_name: (14,15), count_total: 3, num_trees: 3, samples: 110
feat_name: (0,5), count_total: 11, num_trees: 11, samples: 169
feat_name: (29,1), count_total: 4, num_trees: 4, samples: 134
feat_name: (0,29), count_total: 19, num_trees: 18, samples: 256
feat_name: (4,31), count_total: 6, num_trees: 5, samples: 151
feat_name: (0,31), count_total: 172, num_trees: 128, samples: 15132
feat_name: (8,1), count_total: 16, num_trees: 16, samples: 1253
feat_name: (31,0), count_total: 187, num_trees: 147, samples: 21293
feat_name: (23,0), count_total: 1, num_trees: 1, samples: 111
feat_name: (7,31), count_total: 14, num_trees: 14, samples: 702
feat_name: (3,7), count_total: 15, num_trees: 15, samples: 1278
feat_name: (3,6), count_total: 9, num_trees: 9, samples: 545
feat_name: (31,20), count_total: 11, num_trees: 11, samples: 847
feat_name: (8,27), count_total: 1, num_trees: 1, samples: 115
feat_name: (7,3), count_total: 6, num_trees: 6, samples: 665
feat_name: (14,9), count_total: 1, num_trees: 1, samples: 111
feat_name: (16,22), count_total: 2, num_trees: 2, samples: 201
feat_name: (31,27), count_total: 13, num_trees: 12, samples: 980
feat_name: (0,7), count_total: 83, num_trees: 76, samples: 10981
feat_name: (8,19), count_total: 1, num_trees: 1, samples: 99
feat_name: (8,30), count_total: 6, num_trees: 6, samples: 479
feat_name: (0,8), count_total: 135, num_trees: 127, samples: 20358
feat_name: (31,7), count_total: 46, num_trees: 44, samples: 3740
feat_name: (19,17), count_total: 3, num_trees: 3, samples: 349
feat_name: (1,23), count_total: 10, num_trees: 10, samples: 1045
feat_name: (20,29), count_total: 5, num_trees: 5, samples: 344
feat_name: (2,20), count_total: 2, num_trees: 2, samples: 204
feat_name: (1,12), count_total: 11, num_trees: 10, samples: 974
feat_name: (0,0), count_total: 308, num_trees: 187, samples: 26077
feat_name: (0,28), count_total: 20, num_trees: 19, samples: 487
feat_name: (0,2), count_total: 14, num_trees: 14, samples: 527
feat_name: (31,16), count_total: 6, num_trees: 6, samples: 138
feat_name: (18,27), count_total: 1, num_trees: 1, samples: 3
feat_name: (29,25), count_total: 2, num_trees: 2, samples: 145
feat_name: (17,18), count_total: 2, num_trees: 2, samples: 106
feat_name: (3,9), count_total: 5, num_trees: 5, samples: 34
feat_name: (6,0), count_total: 22, num_trees: 20, samples: 1183
