Label,Data
Youtube,"[['0', '1412', '1'], ['0.000268936', '950', '1'], ['0.00041008', '668', '1'], ['0.0231931', '1412', '0'], ['0.0240271', '103', '1'], ['0.0241139', '97', '1'], ['0.0245559', '93', '0'], ['0.025456', '95', '0'], ['0.041007', '1412', '0'], ['0.041225', '103', '1'], ['0.041326', '1412', '0'], ['0.0416119', '1412', '0'], ['0.0416939', '100', '1'], ['0.041913', '1412', '0'], ['0.042196', '1412', '0'], ['0.0422609', '100', '1'], ['0.0425069', '1412', '0'], ['0.0425761', '1412', '0'], ['0.042623', '100', '1'], ['0.04283', '1412', '0'], ['0.0431321', '1412', '0'], ['0.0433791', '1412', '0'], ['0.0437319', '1412', '0'], ['0.0440471', '1412', '0'], ['0.0447619', '1412', '0'], ['0.04509', '100', '1'], ['0.045157', '100', '1'], ['0.0452139', '100', '1'], ['0.0456531', '1412', '0'], ['0.0459571', '1412', '0'], ['0.046536', '100', '1'], ['0.0480189', '1412', '0']]"
Youtube,"[['0', '1412', '1'], ['0.000302076', '352', '1'], ['0.000417948', '136', '1'], ['0.0198472', '1412', '0'], ['0.0208251', '1412', '0'], ['0.0227411', '100', '1'], ['0.0259871', '1412', '1'], ['0.026053', '348', '1'], ['0.026093', '132', '1'], ['0.0433581', '97', '0'], ['0.0457962', '1412', '0'], ['0.045799', '93', '0'], ['0.0458021', '95', '0'], ['0.0461681', '153', '0'], ['0.046396', '103', '1'], ['0.0465', '103', '1'], ['0.062573', '92', '0'], ['0.0708911', '103', '1'], ['0.452078', '750', '1'], ['0.452353', '664', '1'], ['0.47173', '95', '0'], ['0.473431', '1412', '0'], ['0.473515', '1412', '0'], ['0.473725', '1412', '0'], ['0.473778', '103', '1'], ['0.473792', '1412', '0'], ['0.473839', '100', '1'], ['0.474041', '1412', '0'], ['0.474106', '1412', '0'], ['0.474238', '100', '1'], ['0.474359', '1412', '0'], ['0.474428', '1412', '0']]"
Youtube,"[['0', '1412', '1'], ['0.0256422', '1412', '0'], ['0.0272861', '1412', '0'], ['0.028228', '1412', '0'], ['0.0304031', '100', '1'], ['0.0355821', '1412', '1'], ['0.0450091', '97', '0'], ['0.058322', '1412', '0'], ['0.0583251', '93', '0'], ['0.06144', '117', '1'], ['0.0858381', '97', '1'], ['0.109188', '92', '0'], ['1.11697', '972', '1'], ['1.11837', '662', '1'], ['1.13555', '92', '0'], ['1.13769', '1412', '0'], ['1.13791', '1412', '0'], ['1.138', '1412', '0'], ['1.13809', '106', '1'], ['1.13823', '1412', '0'], ['1.1383', '1412', '0'], ['1.13839', '1412', '0'], ['1.13853', '1412', '0'], ['1.13862', '100', '1'], ['1.13863', '1412', '0'], ['1.13869', '100', '1'], ['1.1387', '1412', '0'], ['1.13874', '100', '1'], ['1.13887', '1412', '0'], ['1.13894', '1412', '0'], ['1.13896', '100', '1'], ['1.13925', '1412', '0']]"
Youtube,"[['0', '1412', '1'], ['0.000291824', '909', '1'], ['0.000427008', '729', '1'], ['0.0227518', '1412', '0'], ['0.0234339', '103', '1'], ['0.0235529', '97', '1'], ['0.0237429', '93', '0'], ['0.0248208', '1412', '0'], ['0.024823', '95', '0'], ['0.0248249', '1412', '0'], ['0.024827', '1412', '0'], ['0.0248299', '1412', '0'], ['0.024832', '1412', '0'], ['0.0248349', '1412', '0'], ['0.024838', '1412', '0'], ['0.0248399', '1412', '0'], ['0.0248418', '1412', '0'], ['0.0251038', '103', '1'], ['0.0251739', '103', '1'], ['0.0252149', '100', '1'], ['0.0252628', '100', '1'], ['0.0253048', '100', '1'], ['0.0257919', '1412', '0'], ['0.0267429', '1412', '0'], ['0.0267448', '1412', '0'], ['0.026901', '100', '1'], ['0.0287428', '1412', '0'], ['0.0287459', '1412', '0'], ['0.0288949', '100', '1'], ['0.0307429', '1412', '0'], ['0.030746', '1412', '0'], ['0.030843', '100', '1']]"
Youtube,"[['0', '86', '1'], ['0.017108', '86', '0'], ['0.0172191', '74', '1'], ['0.0180719', '591', '1'], ['0.0381441', '74', '0'], ['0.0403349', '1294', '0'], ['0.0406621', '1294', '0'], ['0.0406921', '74', '1'], ['0.040935', '1294', '0'], ['0.0412121', '1294', '0'], ['0.0412271', '74', '1'], ['0.0419719', '398', '0'], ['0.0450511', '332', '1'], ['0.0622849', '352', '0'], ['0.067816', '1269', '1'], ['0.088594', '1294', '0'], ['0.088872', '1294', '0'], ['0.088886', '74', '1'], ['0.0895691', '1294', '0'], ['0.089823', '1294', '0'], ['0.0898349', '74', '1'], ['0.090766', '1294', '0'], ['0.0909381', '1294', '0'], ['0.090951', '74', '1'], ['0.091491', '1294', '0'], ['0.091671', '1294', '0'], ['0.0916851', '74', '1'], ['0.0920711', '1294', '0'], ['0.0923591', '1294', '0'], ['0.0923729', '74', '1'], ['0.092663', '1294', '0'], ['0.092942', '1294', '0']]"
Youtube,"[['0', '86', '1'], ['0.0204151', '86', '0'], ['0.020448', '74', '1'], ['0.020848', '591', '1'], ['0.051455', '74', '0'], ['0.0544219', '1294', '0'], ['0.0544291', '1294', '0'], ['0.0544319', '1294', '0'], ['0.0544341', '1294', '0'], ['0.0544701', '74', '1'], ['0.0564179', '398', '0'], ['0.0589271', '332', '1'], ['0.085427', '352', '0'], ['0.0893121', '541', '1'], ['0.106436', '290', '0'], ['0.171748', '1250', '1'], ['0.204435', '1294', '0'], ['0.204438', '1294', '0'], ['0.204445', '1294', '0'], ['0.204447', '1294', '0'], ['0.204495', '74', '1'], ['0.205436', '1294', '0'], ['0.206436', '1294', '0'], ['0.206443', '1294', '0'], ['0.206446', '1294', '0'], ['0.206481', '74', '1'], ['0.207433', '1294', '0'], ['0.207436', '1294', '0'], ['0.207443', '1294', '0'], ['0.207446', '1294', '0'], ['0.207475', '74', '1'], ['0.208434', '1294', '0']]"
Youtube,"[['0', '1412', '1'], ['0.000316858', '911', '1'], ['0.000525951', '722', '1'], ['0.0202718', '1412', '0'], ['0.0212989', '103', '1'], ['0.0214138', '97', '1'], ['0.0215659', '93', '0'], ['0.022445', '95', '0'], ['0.0435119', '1412', '0'], ['0.0438099', '1412', '0'], ['0.04388', '1412', '0'], ['0.0441248', '1412', '0'], ['0.0441279', '1412', '0'], ['0.044194', '1412', '0'], ['0.0443759', '1412', '0'], ['0.0444419', '1412', '0'], ['0.0446939', '1412', '0'], ['0.0447619', '1412', '0'], ['0.044981', '103', '1'], ['0.0450559', '100', '1'], ['0.0450969', '100', '1'], ['0.0451608', '100', '1'], ['0.0452008', '100', '1'], ['0.0454299', '1412', '0'], ['0.0457439', '100', '1'], ['0.0457499', '1412', '0'], ['0.0457518', '1412', '0'], ['0.0459559', '100', '1'], ['0.0460169', '1412', '0'], ['0.0476949', '1412', '0'], ['0.0479219', '100', '1'], ['0.0479929', '1412', '0']]"
Youtube,"[['0', '1412', '1'], ['0.000226974', '355', '1'], ['0.000336885', '131', '1'], ['0.0211389', '1412', '0'], ['0.0231309', '93', '0'], ['0.0231318', '92', '0'], ['0.0241318', '150', '0'], ['0.0428369', '103', '1'], ['0.0429399', '100', '1'], ['0.0672009', '100', '1'], ['0.0941448', '95', '0'], ['0.762985', '750', '1'], ['0.764272', '662', '1'], ['0.783185', '92', '0'], ['0.785181', '1412', '0'], ['0.785184', '1412', '0'], ['0.785187', '1412', '0'], ['0.785189', '1412', '0'], ['0.785191', '1412', '0'], ['0.785194', '1412', '0'], ['0.785449', '106', '1'], ['0.7855', '100', '1'], ['0.785542', '100', '1'], ['0.786179', '1412', '0'], ['0.786181', '1412', '0'], ['0.786184', '1412', '0'], ['0.786186', '1412', '0'], ['0.786188', '1412', '0'], ['0.786654', '100', '1'], ['0.786698', '100', '1'], ['0.787176', '1412', '0'], ['0.787373', '100', '1']]"
Youtube,"[['0', '1392', '1'], ['0.000259876', '995', '1'], ['0.0289879', '1392', '0'], ['0.03194', '1392', '1'], ['0.0319979', '991', '1'], ['0.052717', '77', '0'], ['0.0565689', '80', '1'], ['0.059382', '1392', '0'], ['0.059386', '73', '0'], ['0.0593879', '72', '0'], ['0.0602839', '83', '1'], ['0.0603979', '80', '1'], ['0.0625138', '72', '0'], ['0.119417', '75', '0'], ['0.177636', '1392', '0'], ['0.177746', '1392', '0'], ['0.17775', '1392', '0'], ['0.177937', '1392', '0'], ['0.178008', '1392', '0'], ['0.178011', '1392', '0'], ['0.178014', '89', '1'], ['0.178082', '80', '1'], ['0.178131', '80', '1'], ['0.178158', '1392', '0'], ['0.178258', '1392', '0'], ['0.17832', '1392', '0'], ['0.178387', '1392', '0'], ['0.17846', '1392', '0'], ['0.178576', '1392', '0'], ['0.178641', '1392', '0'], ['0.178709', '1392', '0'], ['0.178777', '1392', '0']]"
Youtube,"[['0', '1412', '1'], ['0.000370026', '971', '1'], ['0.000550985', '667', '1'], ['0.0265322', '1412', '0'], ['0.0271521', '103', '1'], ['0.0273621', '97', '1'], ['0.028177', '93', '0'], ['0.0290692', '95', '0'], ['0.0507421', '1412', '0'], ['0.0509341', '103', '1'], ['0.05107', '1412', '0'], ['0.0510731', '1412', '0'], ['0.0511611', '1412', '0'], ['0.0512252', '100', '1'], ['0.051367', '1412', '0'], ['0.0514331', '1412', '0'], ['0.0514941', '1412', '0'], ['0.0516732', '1412', '0'], ['0.051676', '1412', '0'], ['0.0519981', '1412', '0'], ['0.0530541', '100', '1'], ['0.053442', '1412', '0'], ['0.0537491', '1412', '0'], ['0.0549102', '1412', '0'], ['0.055177', '1412', '0'], ['0.056592', '1412', '0'], ['0.056885', '1412', '0'], ['0.0579262', '100', '1'], ['0.0587511', '100', '1'], ['0.0588531', '100', '1'], ['0.0588601', '1412', '0'], ['0.058959', '100', '1']]"
