Label,Matrix
Youtube,"[[9.5367431640625e-07, 15.143989086151123, 0.008000289819622393, 0.2705329599819333, 41.23644983195366, 93.0, 1412.0, 1207.771130625686, 460.25506164310247, -1.8591124494292177, 7288, 8802236.0, 125.0126249466281, 150986.63937427386], [9.5367431640625e-07, 15.162935972213745, 0.009390093263717685, 0.2937754218710131, 38.008513050272, 93.0, 1412.0, 1393.231190591268, 125.56166016946129, -7.555825110003967, 6207, 8647786.0, 106.51237493567753, 148396.3629443375], [2.8133392333984375e-05, 15.164385080337524, 0.053977959244339555, 0.7020784454039536, 15.79364405924991, 97.0, 1412.0, 142.87696577243292, 78.41843595447739, 8.477934665877005, 1081, 154450.0, 18.54323394100693, 2649.4010010994634]]"
Youtube,"[[-1.2874603271484375e-05, 5.255686044692993, 0.002734924137422984, 0.10116414980830216, 46.1636162257184, 90.0, 1412.0, 1233.8650628079365, 436.55435798860907, -2.0861225192265285, 22529, 27797746.0, 365.65708551859484, 451171.50278956804], [9.5367431640625e-07, 5.275847911834717, 0.0031493551655403765, 0.10909752258897604, 42.96808185675608, 90.0, 1412.0, 1399.747775846201, 100.23168548438596, -9.381587650674795, 19558, 27376267.0, 317.5415537533397, 444478.08360498416], [3.600120544433594e-05, 5.263784170150757, 0.020744906049786193, 0.27870026545108983, 16.67352992068305, 98.0, 1412.0, 141.86435543588019, 73.58869002532549, 7.594295164660295, 2971, 421479.0, 48.220835415497596, 6840.81773479923]]"
Youtube,"[[0.0, 8.029924869537354, 0.0032170980731772492, 0.1188404110461914, 49.9053424297375, 92.0, 1412.0, 1178.377132344743, 488.43391195473055, -1.6515768695176598, 17938, 21137729.0, 310.85647000350144, 366306.15569353563], [9.5367431640625e-07, 8.051460981369019, 0.0039035900096087827, 0.13147055158624127, 45.225886471708876, 92.0, 1412.0, 1398.6112201394058, 108.97188874052391, -9.268923760504768, 14777, 20667278.0, 256.19178111760533, 358312.6995785816], [4.1961669921875e-05, 8.037771940231323, 0.01825446267671223, 0.283498163130697, 20.83616550893189, 97.0, 1412.0, 148.82980069598227, 107.69892013047881, 3.5710390741477034, 3161, 470451.0, 54.79846070584902, 8155.643985298126]]"
Youtube,"[[0.0, 7.062128067016602, 0.002561701778292929, 0.10209091019640694, 48.86176322641965, 92.0, 1412.0, 1274.557356114316, 390.6870855410544, -2.544406684174444, 22709, 28943923.0, 390.3826924030472, 497565.1323020161], [9.5367431640625e-07, 7.083459854125977, 0.0028447813133904145, 0.10825873334362823, 46.28469056143366, 92.0, 1412.0, 1401.0472090406536, 94.12198815545543, -9.771865460975436, 20441, 28638806.0, 351.5380669058181, 492521.427509943], [2.9802322387695312e-05, 7.062128067016602, 0.025659957645115056, 0.32264040159163143, 15.349661007711992, 97.0, 1412.0, 134.53130511463846, 67.90250291280883, 9.788344674568485, 2268, 305117.0, 38.9884163270118, 5245.162532825776]]"
Youtube,"[[0.0, 5.052218198776245, 0.0023127473717251728, 0.09339059151986347, 49.09306909614688, 74.0, 1364.0, 943.0879005296571, 551.0014993434736, -0.9377639676078892, 26621, 25105943.0, 432.40242231648335, 407793.49264639046], [9.5367431640625e-07, 5.071457147598267, 0.0032376763320232553, 0.111778942663239, 41.36099922171808, 74.0, 1294.0, 1289.6068591867866, 59.8406813248428, -15.336502818222499, 19011, 24516716.0, 308.8797339009318, 398333.4235024311], [5.0067901611328125e-06, 5.052218198776245, 0.008090869874988063, 0.17455006710178947, 26.20638434906584, 74.0, 1364.0, 77.42798948751643, 61.40372317064096, 20.227653333736487, 7610, 589227.0, 123.61234808710496, 9571.055588215584]]"
Youtube,"[[9.5367431640625e-07, 5.036206007003784, 0.0019528045674086381, 0.07819695080253511, 51.277873534465904, 74.0, 1349.0, 973.1989059700085, 536.119801644463, -1.0768156621814384, 10603, 10318828.0, 512.1323139638037, 498406.6076614627], [9.5367431640625e-07, 5.054986000061035, 0.002617785938250752, 0.09286643480018578, 43.910727362373194, 74.0, 1294.0, 1290.5431893687708, 53.90718792082814, -17.578552936797085, 7826, 10099791.0, 382.0510229325544, 493053.3456369802], [3.814697265625e-06, 5.036206007003784, 0.0074580814206291, 0.15268765862063668, 26.19790560424679, 74.0, 1349.0, 78.87540511343177, 74.94594592776858, 15.947447646626824, 2777, 219037.0, 134.13104176907316, 10579.640257822284]]"
Youtube,"[[0.0, 5.287501096725464, 0.00273578083558572, 0.09507504119592793, 45.30463682574724, 64.0, 1412.0, 1204.6965618951056, 468.33255598147673, -1.8555948594031895, 21698, 26139506.0, 365.5432029908925, 440368.63986725284], [9.5367431640625e-07, 5.3094940185546875, 0.0031665491761351553, 0.10281599194248736, 42.040462006661976, 64.0, 1412.0, 1373.8311632870864, 208.43965773781392, -5.698424630977056, 18740, 25745596.0, 315.8180432432686, 433880.66973595106], [3.2901763916015625e-05, 5.287501096725464, 0.020067664469905024, 0.25725992071541637, 16.64509494298807, 97.0, 1412.0, 133.16768086544963, 65.150475510101, 8.583376192811889, 2958, 393910.0, 49.84826122086187, 6638.177341957302]]"
Youtube,"[[0.0, 11.716970205307007, 0.004147842631177912, 0.17446012695295263, 54.193811270324126, 91.0, 1412.0, 1245.3852112170982, 408.5476862454311, -2.1484213654224087, 13943, 17364406.0, 241.10647742603516, 300270.4413150333], [9.5367431640625e-07, 11.746690034866333, 0.0047645333435591825, 0.18769335017496497, 50.459224819319424, 91.0, 1412.0, 1396.0442558101204, 111.08365679170097, -8.111478757031746, 12134, 16939601.0, 209.9014421210077, 293031.70255929325], [3.600120544433594e-05, 11.720881223678589, 0.031971537038288284, 0.48371512795950145, 19.444276723827617, 98.0, 1412.0, 234.828634604754, 173.8898498059073, 1.6587493836699951, 1809, 424805.0, 31.295120286112496, 7348.990366579336]]"
Youtube,"[[0.0, 8.190515041351318, 0.003404276436502552, 0.14539634645053345, 48.36185527192561, 72.0, 1392.0, 1258.201057900125, 383.69445912432394, -2.6025523080811785, 17582, 22121691.0, 293.7648860893753, 369615.29045156174], [9.5367431640625e-07, 8.217477083206177, 0.0037576379488460983, 0.15342063744944962, 45.97967947871741, 72.0, 1392.0, 1377.6843163117894, 104.03978000138312, -8.502755358748553, 15921, 21934112.0, 266.1413440263591, 366658.7555872553], [4.601478576660156e-05, 8.197433948516846, 0.03604633549609816, 0.4732470965229146, 14.771371150798801, 78.0, 1392.0, 112.93136664659843, 78.29996111605205, 11.101982999160551, 1661, 187579.0, 27.758783129199486, 3134.837315227038]]"
Youtube,"[[0.0, 5.666304111480713, 0.003180823932458069, 0.1150100032129819, 41.8337732820831, 93.0, 1412.0, 1252.670969118353, 412.77934625315635, -2.267684435385112, 18749, 23486328.0, 314.40072140365544, 393840.65637222637], [9.5367431640625e-07, 5.693397045135498, 0.0036058045437400727, 0.12305385699598953, 39.23823713126457, 93.0, 1412.0, 1399.4953423663198, 98.6972946883062, -9.252051362398037, 16532, 23136457.0, 277.34739370284984, 388146.3857045764], [3.0994415283203125e-05, 5.666304111480713, 0.02690776580077216, 0.33398177995122724, 14.284052341835766, 97.0, 1412.0, 157.8128101037438, 94.03602826909773, 4.083344817514488, 2217, 349871.0, 37.180763016348116, 5867.600693411246]]"
Youtube,"[[0.0, 5.424060106277466, 0.0026554619327199156, 0.09851444986758984, 46.059628380618996, 92.0, 1412.0, 1213.5468012301294, 457.93366706859246, -1.9122897764866646, 23087, 28017155.0, 376.59862639087953, 457020.05840431247], [9.5367431640625e-07, 5.442373991012573, 0.0031144294383995126, 0.10720274539067076, 42.49012754423288, 92.0, 1412.0, 1399.9748450045736, 99.43674652267133, -9.597670161454626, 19678, 27548705.0, 321.1024171634843, 449535.3066990429], [3.0994415283203125e-05, 5.434707164764404, 0.017988261202691307, 0.2564994029849156, 17.62054337200354, 97.0, 1412.0, 137.4156644177178, 66.57996514076972, 6.846252449703554, 3409, 468450.0, 55.60812220585214, 7641.427059938819]]"
Youtube,"[[-9.5367431640625e-07, 7.905090093612671, 0.0027171909163475694, 0.1116059760572949, 52.25492356416136, 64.0, 1412.0, 1225.3758296460178, 439.4988153321131, -1.9972922713088699, 21696, 26585754.0, 368.0441030305675, 450992.34809740604], [9.5367431640625e-07, 7.9237329959869385, 0.0030975046154829112, 0.11974631478628672, 48.82808100254167, 64.0, 1412.0, 1370.5744021024966, 215.4612621242011, -5.408945920286432, 19025, 26075178.0, 322.8574899233565, 442500.2112160172], [3.0994415283203125e-05, 7.908043146133423, 0.022078448288449633, 0.31798447669321656, 18.23378583985439, 97.0, 1412.0, 191.15537251965557, 136.19360231677405, 2.3804571094147633, 2671, 510576.0, 45.310001806537876, 8661.250274195014]]"
Youtube,"[[0.0, 11.197411060333252, 0.0037976214345743775, 0.16702597227609925, 55.9203502487509, 92.0, 1412.0, 1269.064636209814, 389.6835161072555, -2.4908352562840346, 14775, 18750430.0, 263.3405418906178, 334196.16899371217], [9.5367431640625e-07, 11.217337131500244, 0.004202337200697909, 0.17627012306330228, 53.03466674772911, 92.0, 1412.0, 1390.6622958189719, 121.00548174468197, -6.721385825098168, 13346, 18559779.0, 237.98064902223524, 330950.71572975063], [3.0040740966796875e-05, 11.213773965835571, 0.03928995733501531, 0.5364401496408959, 17.301565783465787, 97.0, 1412.0, 133.4156752974108, 74.36265743479792, 9.873219010636037, 1429, 190651.0, 25.469619922957214, 3398.0465415897243]]"
Youtube,"[[-9.5367431640625e-07, 8.435853004455566, 0.0034895367616808986, 0.1260988045312226, 45.6734460843163, 85.0, 1412.0, 1258.5046136742635, 408.1114870130046, -2.3455754823261463, 17990, 22640498.0, 286.5869190743844, 360670.9598738056], [9.5367431640625e-07, 8.456907987594604, 0.0035236791952268465, 0.12457300123335152, 45.63286153589188, 85.0, 1412.0, 1396.5421115065244, 112.67562272806536, -8.320428558735314, 16017, 22368415.0, 283.8119993775585, 396355.4088816239], [3.0040740966796875e-05, 8.445371150970459, 0.03183229046951201, 0.3801268697986027, 15.029888027900805, 97.0, 1412.0, 137.90319310694375, 71.87373660894849, 9.15783553788586, 1973, 272083.0, 31.43057205857479, 4334.37624805535]]"
