all tree:
feat_name: (31,31), count_total: 18, num_trees: 17, samples: 2933
feat_name: (4,31), count_total: 241, num_trees: 236, samples: 89124
feat_name: (0,27), count_total: 26, num_trees: 26, samples: 6133
feat_name: (8,2), count_total: 1, num_trees: 1, samples: 6
feat_name: (31,23), count_total: 4, num_trees: 4, samples: 276
feat_name: (0,28), count_total: 97, num_trees: 97, samples: 24041
feat_name: (29,14), count_total: 3, num_trees: 3, samples: 137
feat_name: (31,1), count_total: 66, num_trees: 65, samples: 8443
feat_name: (4,15), count_total: 2, num_trees: 2, samples: 7
feat_name: (0,30), count_total: 93, num_trees: 90, samples: 23185
feat_name: (0,19), count_total: 8, num_trees: 8, samples: 652
feat_name: (1,13), count_total: 6, num_trees: 6, samples: 644
feat_name: (4,30), count_total: 13, num_trees: 13, samples: 1651
feat_name: (27,30), count_total: 2, num_trees: 2, samples: 133
feat_name: (0,25), count_total: 11, num_trees: 11, samples: 1758
feat_name: (1,30), count_total: 25, num_trees: 23, samples: 3066
feat_name: (0,31), count_total: 43, num_trees: 42, samples: 5186
feat_name: (0,13), count_total: 20, num_trees: 20, samples: 2204
feat_name: (21,23), count_total: 1, num_trees: 1, samples: 3
feat_name: (31,0), count_total: 22, num_trees: 22, samples: 2198
feat_name: (20,1), count_total: 2, num_trees: 2, samples: 11
feat_name: (5,0), count_total: 36, num_trees: 35, samples: 6047
feat_name: (18,20), count_total: 3, num_trees: 3, samples: 142
feat_name: (5,19), count_total: 8, num_trees: 8, samples: 1008
feat_name: (31,2), count_total: 25, num_trees: 25, samples: 3321
feat_name: (30,2), count_total: 2, num_trees: 2, samples: 157
feat_name: (3,8), count_total: 13, num_trees: 13, samples: 1496
feat_name: (5,27), count_total: 8, num_trees: 8, samples: 832
feat_name: (0,0), count_total: 93, num_trees: 87, samples: 10869
feat_name: (11,4), count_total: 1, num_trees: 1, samples: 127
feat_name: (31,24), count_total: 1, num_trees: 1, samples: 3
feat_name: (5,23), count_total: 4, num_trees: 4, samples: 401
feat_name: (31,19), count_total: 4, num_trees: 4, samples: 157
feat_name: (0,1), count_total: 17, num_trees: 15, samples: 1785
feat_name: (1,31), count_total: 11, num_trees: 11, samples: 922
feat_name: (30,0), count_total: 2, num_trees: 2, samples: 230
feat_name: (5,31), count_total: 11, num_trees: 11, samples: 1214
feat_name: (13,7), count_total: 1, num_trees: 1, samples: 5
feat_name: (0,21), count_total: 5, num_trees: 5, samples: 562
feat_name: (7,20), count_total: 1, num_trees: 1, samples: 135
feat_name: (13,21), count_total: 1, num_trees: 1, samples: 3
feat_name: (31,3), count_total: 10, num_trees: 10, samples: 1065
feat_name: (0,3), count_total: 11, num_trees: 11, samples: 583
feat_name: (21,12), count_total: 3, num_trees: 3, samples: 14
feat_name: (15,2), count_total: 5, num_trees: 5, samples: 428
feat_name: (0,22), count_total: 30, num_trees: 30, samples: 3469
feat_name: (30,1), count_total: 6, num_trees: 6, samples: 801
feat_name: (27,17), count_total: 2, num_trees: 2, samples: 248
feat_name: (2,3), count_total: 1, num_trees: 1, samples: 5
feat_name: (0,2), count_total: 29, num_trees: 28, samples: 3206
feat_name: (20,6), count_total: 1, num_trees: 1, samples: 141
feat_name: (31,7), count_total: 3, num_trees: 3, samples: 10
feat_name: (19,30), count_total: 1, num_trees: 1, samples: 134
feat_name: (11,12), count_total: 1, num_trees: 1, samples: 5
feat_name: (5,26), count_total: 5, num_trees: 5, samples: 707
feat_name: (3,18), count_total: 1, num_trees: 1, samples: 2
feat_name: (2,4), count_total: 6, num_trees: 5, samples: 541
feat_name: (31,4), count_total: 7, num_trees: 7, samples: 452
feat_name: (24,18), count_total: 1, num_trees: 1, samples: 4
feat_name: (1,29), count_total: 6, num_trees: 6, samples: 794
feat_name: (0,9), count_total: 3, num_trees: 3, samples: 11
feat_name: (31,30), count_total: 32, num_trees: 31, samples: 11951
feat_name: (0,26), count_total: 25, num_trees: 25, samples: 4164
feat_name: (8,18), count_total: 1, num_trees: 1, samples: 143
feat_name: (22,25), count_total: 1, num_trees: 1, samples: 8
feat_name: (0,29), count_total: 17, num_trees: 17, samples: 3712
feat_name: (15,29), count_total: 2, num_trees: 2, samples: 15
feat_name: (19,1), count_total: 1, num_trees: 1, samples: 105
feat_name: (26,26), count_total: 4, num_trees: 4, samples: 405
feat_name: (0,8), count_total: 6, num_trees: 6, samples: 276
feat_name: (8,15), count_total: 1, num_trees: 1, samples: 125
feat_name: (27,15), count_total: 2, num_trees: 2, samples: 8
feat_name: (4,26), count_total: 6, num_trees: 6, samples: 682
feat_name: (6,12), count_total: 2, num_trees: 2, samples: 141
feat_name: (4,29), count_total: 9, num_trees: 9, samples: 831
feat_name: (1,6), count_total: 2, num_trees: 2, samples: 5
feat_name: (2,1), count_total: 2, num_trees: 2, samples: 258
feat_name: (8,6), count_total: 1, num_trees: 1, samples: 130
feat_name: (4,0), count_total: 3, num_trees: 3, samples: 293
feat_name: (1,21), count_total: 6, num_trees: 6, samples: 527
feat_name: (5,25), count_total: 7, num_trees: 7, samples: 413
feat_name: (19,8), count_total: 1, num_trees: 1, samples: 134
feat_name: (3,20), count_total: 2, num_trees: 2, samples: 138
feat_name: (5,15), count_total: 3, num_trees: 3, samples: 260
feat_name: (13,29), count_total: 1, num_trees: 1, samples: 3
feat_name: (3,7), count_total: 3, num_trees: 3, samples: 405
