Label,Data
Youtube,"[['0', '1412', '1'], ['0.000209808', '350', '1'], ['0.020031', '1412', '0'], ['0.0211759', '103', '1'], ['0.0212879', '97', '1'], ['0.0216238', '93', '0'], ['0.022325', '92', '0'], ['0.0230739', '121', '0'], ['0.023181', '103', '1'], ['0.065918', '95', '0'], ['0.082072', '132', '1'], ['0.0984988', '96', '0'], ['0.124019', '100', '1'], ['0.12405', '89', '0'], ['0.50744', '749', '1'], ['0.5106', '662', '1'], ['0.527305', '95', '0'], ['0.544754', '1412', '0'], ['0.544907', '1412', '0'], ['0.545053', '1412', '0'], ['0.545298', '1412', '0'], ['0.545368', '1412', '0'], ['0.545458', '1412', '0'], ['0.545598', '1412', '0'], ['0.545686', '1412', '0'], ['0.545918', '1412', '0'], ['0.546119', '106', '1'], ['0.546131', '1412', '0'], ['0.546195', '100', '1'], ['0.546253', '100', '1'], ['0.546318', '100', '1'], ['0.54636', '100', '1']]"
Youtube,"[['0', '1412', '1'], ['0.000582933', '965', '1'], ['0.00080204', '669', '1'], ['0.0285299', '1412', '0'], ['0.0291359', '103', '1'], ['0.0292649', '97', '1'], ['0.030813', '93', '0'], ['0.031764', '95', '0'], ['0.055542', '100', '1'], ['0.0604639', '1412', '0'], ['0.060694', '1412', '0'], ['0.060765', '1412', '0'], ['0.0607939', '100', '1'], ['0.0610399', '1412', '0'], ['0.0610418', '1412', '0'], ['0.0611069', '1412', '0'], ['0.061147', '100', '1'], ['0.0611908', '100', '1'], ['0.0613408', '1412', '0'], ['0.0613439', '1412', '0'], ['0.061615', '1412', '0'], ['0.0618589', '100', '1'], ['0.061934', '1412', '0'], ['0.0620799', '100', '1'], ['0.0628099', '1412', '0'], ['0.0631649', '1412', '0'], ['0.0632589', '100', '1'], ['0.063468', '1412', '0'], ['0.0646119', '1412', '0'], ['0.0648968', '100', '1'], ['0.064908', '1412', '0'], ['0.066339', '1412', '0']]"
Youtube,"[['0', '1412', '1'], ['0.000277042', '911', '1'], ['0.000411034', '731', '1'], ['0.0229599', '1412', '0'], ['0.0243101', '103', '1'], ['0.0244391', '97', '1'], ['0.0244641', '93', '0'], ['0.024648', '1412', '0'], ['0.0247891', '1412', '0'], ['0.0248749', '103', '1'], ['0.0249271', '100', '1'], ['0.024951', '1412', '0'], ['0.0250909', '1412', '0'], ['0.0252011', '1412', '0'], ['0.0252061', '100', '1'], ['0.025238', '100', '1'], ['0.0252821', '1412', '0'], ['0.025418', '1412', '0'], ['0.0255029', '1412', '0'], ['0.0255051', '95', '0'], ['0.0255949', '1412', '0'], ['0.025743', '1412', '0'], ['0.025847', '1412', '0'], ['0.0259221', '1412', '0'], ['0.0260451', '1412', '0'], ['0.0262241', '1412', '0'], ['0.026361', '1412', '0'], ['0.0264821', '103', '1'], ['0.02654', '1412', '0'], ['0.0265841', '103', '1'], ['0.026684', '103', '1'], ['0.026726', '100', '1']]"
Youtube,"[['0', '1412', '1'], ['0.000310183', '970', '1'], ['0.026922', '1412', '0'], ['0.0277052', '103', '1'], ['0.0278282', '97', '1'], ['0.028435', '93', '0'], ['0.0293121', '92', '0'], ['0.0534341', '100', '1'], ['0.078114', '95', '0'], ['0.18008', '1412', '0'], ['0.180204', '1412', '0'], ['0.180359', '1412', '0'], ['0.180467', '103', '1'], ['0.180479', '1412', '0'], ['0.180545', '100', '1'], ['0.180549', '1412', '0'], ['0.180674', '1412', '0'], ['0.180784', '1412', '0'], ['0.180849', '1412', '0'], ['0.180997', '1412', '0'], ['0.181034', '100', '1'], ['0.18108', '100', '1'], ['0.1811', '1412', '0'], ['0.181153', '100', '1'], ['0.181293', '1412', '0'], ['0.181402', '1412', '0'], ['0.18191', '100', '1'], ['0.182118', '1412', '0'], ['0.182419', '1412', '0'], ['0.182506', '100', '1'], ['0.182726', '1412', '0'], ['0.183897', '1412', '0']]"
Youtube,"[['0', '1412', '1'], ['0.000252962', '908', '1'], ['0.000417948', '722', '1'], ['0.0214651', '1412', '0'], ['0.022095', '103', '1'], ['0.022193', '97', '1'], ['0.023452', '93', '0'], ['0.024334', '95', '0'], ['0.0479929', '100', '1'], ['0.0488911', '1412', '0'], ['0.0489781', '1412', '0'], ['0.049207', '1412', '0'], ['0.0492721', '100', '1'], ['0.0495219', '1412', '0'], ['0.0496111', '1412', '0'], ['0.0496349', '100', '1'], ['0.0498369', '1412', '0'], ['0.049926', '1412', '0'], ['0.049952', '100', '1'], ['0.050153', '1412', '0'], ['0.0502241', '100', '1'], ['0.0502441', '1412', '0'], ['0.0509169', '1412', '0'], ['0.051019', '100', '1'], ['0.0511999', '1412', '0'], ['0.0525789', '1412', '0'], ['0.052685', '1412', '0'], ['0.052731', '100', '1'], ['0.0528769', '1412', '0'], ['0.053031', '100', '1'], ['0.0531781', '1412', '0'], ['0.0538261', '1412', '0']]"
Youtube,"[['0', '1412', '1'], ['0.000266075', '350', '1'], ['0.000370026', '136', '1'], ['0.021482', '1412', '0'], ['0.0230699', '93', '0'], ['0.0239849', '92', '0'], ['0.024924', '150', '0'], ['0.025737', '103', '1'], ['0.0258241', '100', '1'], ['0.050976', '100', '1'], ['0.06938', '95', '0'], ['0.525599', '715', '1'], ['0.52614', '661', '1'], ['0.542802', '92', '0'], ['0.573619', '1412', '0'], ['0.573716', '1412', '0'], ['0.573799', '1412', '0'], ['0.573904', '1412', '0'], ['0.573976', '1412', '0'], ['0.5741', '1412', '0'], ['0.57425', '1412', '0'], ['0.574253', '1412', '0'], ['0.574333', '1412', '0'], ['0.574418', '1412', '0'], ['0.574511', '1412', '0'], ['0.574579', '1412', '0'], ['0.574744', '106', '1'], ['0.574819', '100', '1'], ['0.574884', '100', '1'], ['0.575106', '100', '1'], ['0.575169', '100', '1'], ['0.575231', '100', '1']]"
Youtube,"[['0', '1412', '1'], ['0.00022912', '351', '1'], ['0.000326157', '136', '1'], ['0.0217881', '1412', '0'], ['0.0237811', '1412', '0'], ['0.02809', '100', '1'], ['0.0292881', '1412', '1'], ['0.0293241', '347', '1'], ['0.0293541', '132', '1'], ['0.04579', '97', '0'], ['0.0517931', '1412', '0'], ['0.0517972', '93', '0'], ['0.0517991', '95', '0'], ['0.0518', '153', '0'], ['0.052429', '103', '1'], ['0.0525131', '103', '1'], ['0.076875', '100', '1'], ['0.081794', '92', '0'], ['0.524624', '748', '1'], ['0.525764', '661', '1'], ['0.54537', '1412', '0'], ['0.545373', '1412', '0'], ['0.545725', '103', '1'], ['0.545811', '1412', '0'], ['0.545813', '1412', '0'], ['0.546006', '100', '1'], ['0.546822', '1412', '0'], ['0.546826', '1412', '0'], ['0.546831', '1412', '0'], ['0.546834', '1412', '0'], ['0.54684', '1412', '0'], ['0.546842', '1412', '0']]"
Google Doc,"[['0', '295', '1'], ['0.021904', '87', '0'], ['0.442251', '415', '0'], ['0.443583', '1412', '0'], ['0.44453', '104', '1'], ['0.444926', '1412', '0'], ['0.446436', '1412', '0'], ['0.446461', '98', '1'], ['0.44777', '180', '0'], ['0.448505', '101', '1'], ['0.449095', '1412', '0'], ['0.450492', '1412', '0'], ['0.450524', '98', '1'], ['0.451841', '1412', '0'], ['0.452503', '101', '1'], ['0.453096', '188', '0'], ['0.45449', '692', '0'], ['0.454537', '98', '1'], ['0.455844', '1412', '0'], ['0.456503', '101', '1'], ['0.457259', '1412', '0'], ['0.458507', '98', '1'], ['0.458541', '693', '0'], ['0.459911', '1412', '0'], ['0.460502', '101', '1'], ['0.461341', '1412', '0'], ['0.462699', '1412', '0'], ['0.463505', '101', '1'], ['0.463975', '188', '0'], ['0.465503', '98', '1'], ['0.475835', '84', '0'], ['0.477311', '1187', '0']]"
Google Doc,"[['0', '896', '1'], ['0.0165768', '87', '0'], ['0.214141', '328', '0'], ['0.216139', '101', '1'], ['0.222597', '1412', '0'], ['0.223851', '1412', '0'], ['0.22422', '101', '1'], ['0.224639', '1412', '0'], ['0.225331', '186', '0'], ['0.226046', '84', '0'], ['0.226868', '1412', '0'], ['0.227594', '1412', '0'], ['0.228315', '1412', '0'], ['0.229003', '188', '0'], ['0.229733', '728', '0'], ['0.230469', '1412', '0'], ['0.2312', '1412', '0'], ['0.23189', '693', '0'], ['0.237377', '101', '1'], ['0.23907', '122', '1'], ['0.267885', '1412', '0'], ['0.268657', '1412', '0'], ['0.269383', '1412', '0'], ['0.27007', '198', '0'], ['0.270127', '104', '1'], ['0.270842', '1195', '0'], ['0.272064', '101', '1'], ['0.276209', '1412', '0'], ['0.276923', '1412', '0'], ['0.277646', '1412', '0'], ['0.278094', '104', '1'], ['0.278412', '188', '0']]"
Google Doc,"[['0', '294', '1'], ['0.0201678', '87', '0'], ['0.373781', '325', '0'], ['0.375548', '1412', '0'], ['0.377064', '1412', '0'], ['0.378276', '107', '1'], ['0.378452', '1412', '0'], ['0.379859', '180', '0'], ['0.381325', '1412', '0'], ['0.382083', '104', '1'], ['0.382761', '1412', '0'], ['0.384198', '1412', '0'], ['0.385673', '829', '0'], ['0.387137', '1412', '0'], ['0.388093', '107', '1'], ['0.38856', '1412', '0'], ['0.389977', '694', '0'], ['0.391428', '1412', '0'], ['0.392869', '1412', '0'], ['0.39431', '1412', '0'], ['0.395098', '110', '1'], ['0.395782', '1302', '0'], ['0.398289', '1412', '0'], ['0.399104', '101', '1'], ['0.399756', '1412', '0'], ['0.401201', '1412', '0'], ['0.402606', '188', '0'], ['0.403084', '104', '1'], ['0.40407', '1412', '0'], ['0.405614', '1411', '0'], ['0.407063', '1412', '0'], ['0.408501', '1412', '0']]"
